City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Springdale,US,68.49,scattered clouds,36.1867,-94.1288,Springdale Inn
30,Esperance,AU,62.44,light rain,-33.8667,121.9,Hospitality Esperance
32,Innisfail,AU,67.32,broken clouds,-17.5333,146.0333,Moondarra Motel
49,San Juan,AR,68.72,overcast clouds,-31.5375,-68.5364,Hotel Provincial
51,Yeppoon,AU,60.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
54,Ponta Do Sol,PT,69.71,scattered clouds,32.6667,-17.1,Hotel do Campo
56,Muros,ES,63.68,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
64,Muroto,JP,62.64,overcast clouds,33.2833,134.15,Oota Ryokan
70,Hasaki,JP,68.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
71,Iwaki,JP,66.02,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
83,Kalispell,US,65.77,few clouds,48.1958,-114.3129,Red Lion Hotel Kalispell
97,Castro,BR,67.55,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
98,Camacha,PT,63.82,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
99,Porto Santo,PT,66.58,broken clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
104,San Quintin,MX,64.69,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
106,Pinawa,CA,65.08,broken clouds,50.1489,-95.8811,Pinawa Motel
116,Saint-Philippe,RE,69.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
132,Kuryk,KZ,68.7,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
134,Sioux Lookout,CA,68.07,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
141,Caetite,BR,68.95,broken clouds,-14.0694,-42.475,Hotel Porto do Sol
153,San Lawrenz,MT,67.86,scattered clouds,36.0553,14.204,San Andrea Hotel
