City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Gatton,AU,-27.55,152.2833,56.34,62,100,2.46,overcast clouds
1,Springdale,US,36.1867,-94.1288,68.49,66,40,9.22,scattered clouds
2,Mogadishu,SO,2.0371,45.3438,78.33,84,86,14.03,overcast clouds
3,Vestmannaeyjar,IS,63.4427,-20.2734,45.45,87,100,36.08,moderate rain
4,Tukrah,LY,32.5341,20.5791,70.32,74,31,20.54,scattered clouds
5,Riyadh,SA,24.6877,46.7219,91.45,19,0,0.0,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,35.71,55,40,19.08,scattered clouds
7,Tanout,NE,14.9709,8.8879,88.54,19,48,6.22,scattered clouds
8,Puerto Escondido,MX,15.85,-97.0667,86.83,66,75,5.75,broken clouds
9,Kavieng,PG,-2.5744,150.7967,82.74,80,89,16.69,light rain
10,Souillac,MU,-20.5167,57.5167,74.35,94,40,7.18,light rain
11,Port Blair,IN,11.6667,92.75,80.92,83,100,5.17,overcast clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,82.36,87,48,10.0,scattered clouds
13,Grindavik,IS,63.8424,-22.4338,46.35,87,90,38.1,moderate rain
14,Dolores,AR,-36.3132,-57.6792,42.51,57,4,9.04,clear sky
15,Leningradskiy,RU,69.3833,178.4167,35.51,94,53,6.67,broken clouds
16,Avarua,CK,-21.2078,-159.775,77.05,61,20,6.91,few clouds
17,East London,ZA,-33.0153,27.9116,59.74,81,57,16.24,moderate rain
18,Jamestown,US,42.097,-79.2353,53.19,84,90,7.0,overcast clouds
19,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,40,5.82,light rain
20,Faanui,PF,-16.4833,-151.75,79.95,68,21,7.25,few clouds
21,Burnie,AU,-41.0667,145.9167,37.92,81,32,3.78,scattered clouds
22,Albany,US,42.6001,-73.9662,53.15,71,100,3.51,overcast clouds
23,Lorengau,PG,-2.0226,147.2712,81.79,83,64,12.53,broken clouds
24,Bluff,NZ,-46.6,168.3333,49.8,89,100,22.46,overcast clouds
25,Port Elizabeth,ZA,-33.918,25.5701,55.69,94,75,3.44,light rain
26,Cape Town,ZA,-33.9258,18.4232,57.11,90,20,1.57,few clouds
27,Mataura,NZ,-46.1927,168.8643,49.48,95,100,3.8,overcast clouds
28,College,US,64.8569,-147.8028,52.47,41,75,1.99,broken clouds
29,Rikitea,PF,-23.1203,-134.9692,76.95,86,96,20.65,overcast clouds
30,Esperance,AU,-33.8667,121.9,62.44,86,93,14.61,light rain
31,Zemaiciu Naumiestis,LT,55.3592,21.7022,43.92,87,10,7.34,clear sky
32,Innisfail,AU,-17.5333,146.0333,67.32,83,59,5.35,broken clouds
33,Lerwick,GB,60.1545,-1.1494,42.8,89,9,2.1,clear sky
34,Mezen,RU,65.8522,44.24,32.63,88,98,10.89,overcast clouds
35,San Patricio,US,28.017,-97.5169,83.84,68,56,8.97,broken clouds
36,Saint-Augustin,CA,51.226,-58.6502,55.0,43,87,13.35,overcast clouds
37,Isangel,VU,-19.55,169.2667,71.71,78,20,2.46,few clouds
38,Qaanaaq,GL,77.484,-69.3632,30.4,94,57,6.55,broken clouds
39,Kaitangata,NZ,-46.2817,169.8464,49.55,94,100,10.58,light rain
40,Omsukchan,RU,62.5333,155.8,35.89,77,97,7.14,overcast clouds
41,Fomboni,KM,-12.28,43.7425,79.05,72,10,9.17,clear sky
42,Pevek,RU,69.7008,170.3133,42.31,55,0,11.14,clear sky
43,Bredasdorp,ZA,-34.5322,20.0403,54.72,88,36,2.66,scattered clouds
44,Mazyr,BY,52.0495,29.2456,52.38,95,100,7.9,overcast clouds
45,Arkhara,RU,49.4212,130.0842,52.41,90,100,5.35,moderate rain
46,Hobart,AU,-42.8794,147.3294,47.26,78,75,3.0,broken clouds
47,Busselton,AU,-33.65,115.3333,54.09,86,97,20.38,light rain
48,Mar Del Plata,AR,-38.0023,-57.5575,47.12,63,40,11.99,scattered clouds
49,San Juan,AR,-31.5375,-68.5364,68.72,41,100,6.67,overcast clouds
50,Vanavara,RU,60.34,102.2797,33.6,89,72,5.46,broken clouds
51,Yeppoon,AU,-23.1333,150.7333,60.58,66,85,12.91,overcast clouds
52,Tiznit,MA,29.5833,-9.5,80.26,33,100,5.3,overcast clouds
53,Visnes,NO,59.3556,5.2242,50.83,87,90,14.97,overcast clouds
54,Ponta Do Sol,PT,32.6667,-17.1,69.71,73,39,6.42,scattered clouds
55,Atuona,PF,-9.8,-139.0333,78.94,72,13,9.17,few clouds
56,Muros,ES,42.7762,-9.0603,63.68,76,100,11.59,overcast clouds
57,Kavaratti,IN,10.5669,72.642,83.16,75,91,15.9,overcast clouds
58,Lewisville,US,33.0462,-96.9942,85.82,59,75,5.01,broken clouds
59,Vardo,NO,70.3705,31.1107,39.16,84,78,9.51,broken clouds
60,Borogontsy,RU,62.6683,131.1683,54.03,79,100,4.09,light rain
61,Jumla,NP,29.2747,82.1838,57.74,87,100,2.46,overcast clouds
62,Namibe,AO,-15.1961,12.1522,72.45,70,0,4.27,clear sky
63,Butaritari,KI,3.0707,172.7902,82.49,79,100,14.74,light rain
64,Muroto,JP,33.2833,134.15,62.64,67,96,6.49,overcast clouds
65,Boyolangu,ID,-8.1181,111.8935,75.09,92,83,2.08,broken clouds
66,Muisne,EC,0.6,-80.0333,82.51,82,70,8.93,broken clouds
67,Mayumba,GA,-3.432,10.6554,76.82,91,55,6.26,broken clouds
68,Kapaa,US,22.0752,-159.319,82.47,68,20,1.99,few clouds
69,Lebu,CL,-37.6167,-73.65,50.16,74,58,7.78,broken clouds
70,Hasaki,JP,35.7333,140.8333,68.29,82,99,11.05,overcast clouds
71,Iwaki,JP,37.05,140.8833,66.02,66,100,1.99,overcast clouds
72,Port Alfred,ZA,-33.5906,26.891,59.56,76,96,14.25,light rain
73,Synya,RU,65.3718,58.0387,36.63,88,100,3.36,overcast clouds
74,Palimbang,PH,6.2106,124.1894,79.48,81,98,3.65,overcast clouds
75,Saint-Louis,SN,16.3333,-15.0,91.04,44,6,17.54,clear sky
76,Chuy,UY,-33.6971,-53.4616,48.51,60,29,12.48,scattered clouds
77,Yellowknife,CA,62.456,-114.3525,54.32,35,75,3.0,broken clouds
78,Hilo,US,19.7297,-155.09,81.81,72,20,11.5,few clouds
79,Dwarka,IN,22.2394,68.9678,82.96,80,81,13.4,broken clouds
80,Hithadhoo,MV,-0.6,73.0833,83.48,72,34,18.7,scattered clouds
81,Ahipara,NZ,-35.1667,173.1667,56.64,76,91,11.3,overcast clouds
82,Airai,TL,-8.9266,125.4092,54.93,89,46,1.97,scattered clouds
83,Kalispell,US,48.1958,-114.3129,65.77,43,20,3.0,few clouds
84,Bethel,US,41.3712,-73.414,49.19,85,100,3.0,overcast clouds
85,Tura,IN,25.5198,90.2201,72.46,92,29,4.36,scattered clouds
86,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,78,0,3.44,clear sky
87,Ushuaia,AR,-54.8,-68.3,29.86,93,75,21.85,light snow
88,Yulara,AU,-25.2406,130.9889,44.44,70,99,5.75,overcast clouds
89,Talnakh,RU,69.4865,88.3972,24.75,98,92,3.47,overcast clouds
90,Olafsvik,IS,64.8945,-23.7142,44.22,92,100,31.05,moderate rain
91,Maragogi,BR,-9.0122,-35.2225,76.12,78,17,7.49,few clouds
92,Vaini,TO,-21.2,-175.2,75.36,94,75,0.0,light rain
93,Oistins,BB,13.0667,-59.5333,84.29,58,40,17.27,scattered clouds
94,Kontagora,NG,10.3999,5.4695,82.58,61,42,5.7,scattered clouds
95,Knysna,ZA,-34.0363,23.0471,57.58,87,58,9.93,light rain
96,Bengkulu,ID,-3.8004,102.2655,75.33,86,96,4.05,overcast clouds
97,Castro,BR,-24.7911,-50.0119,67.55,69,57,4.92,broken clouds
98,Camacha,PT,33.0833,-16.3333,63.82,72,75,13.8,broken clouds
99,Porto Santo,PT,33.072,-16.3415,66.58,72,75,13.8,broken clouds
100,Benguela,AO,-12.5763,13.4055,74.98,71,12,2.86,few clouds
101,Dunedin,NZ,-45.8742,170.5036,49.8,96,100,12.06,overcast clouds
102,New Norfolk,AU,-42.7826,147.0587,46.92,77,31,3.42,scattered clouds
103,Reconquista,AR,-29.15,-59.65,57.29,47,0,7.43,clear sky
104,San Quintin,MX,30.4833,-115.95,64.69,66,2,22.64,clear sky
105,Cherskiy,RU,68.75,161.3,55.58,37,16,13.6,few clouds
106,Pinawa,CA,50.1489,-95.8811,65.08,56,67,14.43,broken clouds
107,Green River,US,41.5286,-109.4662,70.2,29,100,15.59,overcast clouds
108,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,46,0,6.91,clear sky
109,Tonstad,NO,58.6626,6.7169,50.36,62,7,5.77,clear sky
110,Hermanus,ZA,-34.4187,19.2345,56.89,82,56,5.91,broken clouds
111,Mount Gambier,AU,-37.8333,140.7667,31.91,100,75,3.44,broken clouds
112,Ostrovnoy,RU,68.0531,39.5131,35.02,80,100,14.67,overcast clouds
113,Cayenne,GF,4.9333,-52.3333,81.09,86,75,3.0,broken clouds
114,Morden,CA,49.1919,-98.1014,77.43,17,49,10.36,scattered clouds
115,Aksarka,RU,66.5606,67.7975,38.62,76,9,8.1,clear sky
116,Saint-Philippe,RE,-21.3585,55.7679,69.35,81,16,5.14,few clouds
117,Georgetown,MY,5.4112,100.3354,81.9,87,20,5.01,few clouds
118,Sobolevo,RU,54.4299,31.8996,47.73,96,84,9.89,broken clouds
119,Afsin,TR,38.2477,36.914,56.3,59,1,2.93,clear sky
120,Rudnogorsk,RU,57.2639,103.7519,32.85,79,100,4.94,overcast clouds
121,Bani Walid,LY,31.7566,13.9942,70.02,65,25,8.48,scattered clouds
122,Saskylakh,RU,71.9167,114.0833,33.53,90,81,8.61,broken clouds
123,Carnarvon,AU,-24.8667,113.6333,57.27,100,3,6.91,clear sky
124,Luderitz,NA,-26.6481,15.1594,60.01,66,32,14.43,scattered clouds
125,San Lazaro,BZ,18.0387,-88.6622,89.38,47,78,8.61,broken clouds
126,Hovin,NO,63.1055,10.225,54.84,71,4,0.78,clear sky
127,Itaituba,BR,-4.2761,-55.9836,82.56,83,40,2.3,scattered clouds
128,Khonsa,IN,27.0167,95.5667,65.59,98,45,3.24,scattered clouds
129,Rehoboth,NA,-23.3167,17.0833,58.14,31,16,1.86,few clouds
130,Selikhino,RU,50.3672,137.4996,52.57,67,100,9.28,overcast clouds
131,Clyde River,CA,70.4692,-68.5914,32.23,80,20,4.61,few clouds
132,Kuryk,KZ,43.2,51.65,68.7,67,2,5.39,clear sky
133,Sabha,LY,27.0377,14.4283,93.11,10,0,9.64,clear sky
134,Sioux Lookout,CA,50.1001,-91.917,68.07,26,75,13.8,broken clouds
135,San Antonio,US,29.4241,-98.4936,86.77,57,40,5.75,scattered clouds
136,Kranuan,TH,16.7067,103.0788,82.42,81,100,8.28,overcast clouds
137,Hofn,IS,64.2539,-15.2082,45.64,87,100,17.92,overcast clouds
138,Pervomayskoye,RU,43.919,46.7102,70.48,68,99,5.61,overcast clouds
139,Klaksvik,FO,62.2266,-6.589,47.32,82,22,11.61,few clouds
140,Provideniya,RU,64.3833,-173.3,45.97,45,4,10.38,clear sky
141,Caetite,BR,-14.0694,-42.475,68.95,44,74,5.61,broken clouds
142,Vakhrushev,RU,48.9833,142.9667,38.68,97,100,18.79,overcast clouds
143,Nioro,GM,13.35,-15.75,82.02,44,48,9.06,scattered clouds
144,Bonoua,CI,5.2741,-3.595,83.82,88,67,4.88,broken clouds
145,Fare,PF,-16.7,-151.0167,79.86,69,23,8.84,few clouds
146,Constitucion,CL,-35.3333,-72.4167,54.03,75,98,10.27,overcast clouds
147,Bandarbeyla,SO,9.4942,50.8122,79.59,82,79,24.72,broken clouds
148,Tevriz,RU,57.509,72.4042,54.91,86,33,5.08,scattered clouds
149,Ojinaga,MX,29.5667,-104.4167,99.57,28,40,12.66,scattered clouds
150,Codrington,AU,-38.2667,141.9667,39.65,95,7,7.0,clear sky
151,Iracoubo,GF,5.4802,-53.2011,78.21,88,76,9.78,broken clouds
152,Tiksi,RU,71.6872,128.8694,32.52,94,83,10.45,broken clouds
153,San Lawrenz,MT,36.0553,14.204,67.86,82,50,3.78,scattered clouds
